sampleID	dnaSampleID	siteID	sequencerRunID	internalLabID	collectDate	processedDate	sampleTotalReadNumber	sampleFilteredReadNumber	ncbiProjectID	remarks
SCBI_045-M-20180718	SCBI_045-M-20180718-COMP-DNA1	SCBI	HWVWMBGX7	BMI_Plate88WellB1	2018-07-18T16:45:00Z	2018-12-21T00:00:00Z	7505860	2912011	PRJNA406974	paired ends may be out of order
SCBI_005-M-20180718	SCBI_005-M-20180718-COMP-DNA1	SCBI	HWVWMBGX7	BMI_Plate88WellB9	2018-07-18T19:50:00Z	2018-12-21T00:00:00Z	7151738	3689420	PRJNA406974	paired ends may be out of order
DSNY_005-M-20180820	DSNY_005-M-20180820-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0448	2018-08-20T19:04:00Z	2019-03-17T00:00:00Z	1877	NA	PRJNA406974	paired ends may be out of order
DSNY_044-M-20180820	DSNY_044-M-20180820-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0454	2018-08-20T19:49:00Z	2019-03-01T00:00:00Z	5192004	2569940	PRJNA406974	paired ends may be out of order
DSNY_004-M-20180820	DSNY_004-M-20180820-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0447	2018-08-20T21:36:00Z	2019-03-01T00:00:00Z	7847128	2976810	PRJNA406974	paired ends may be out of order
DSNY_041-M-20180820	DSNY_041-M-20180820-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0451	2018-08-20T21:48:00Z	2019-03-01T00:00:00Z	9051502	3771640	PRJNA406974	paired ends may be out of order
DSNY_042-M-20180820	DSNY_042-M-20180820-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0452	2018-08-22T23:57:00Z	2019-03-01T00:00:00Z	9548239	4892197	PRJNA406974	paired ends may be out of order
DSNY_001-M-20180822	DSNY_001-M-20180822-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0445	2018-08-22T23:12:00Z	2019-03-01T00:00:00Z	2176006	785882	PRJNA406974	paired ends may be out of order
DSNY_003-M-20180822	DSNY_003-M-20180822-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0446	2018-08-23T13:38:00Z	2019-03-01T00:00:00Z	5094689	1873487	PRJNA406974	paired ends may be out of order
DSNY_006-M-20180823	DSNY_006-M-20180823-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0449	2018-08-23T11:37:00Z	2019-03-01T00:00:00Z	4863392	4143867	PRJNA406974	paired ends may be out of order
DSNY_009-M-20180823	DSNY_009-M-20180823-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0450	2018-08-23T12:54:00Z	2019-03-01T00:00:00Z	8674894	3403571	PRJNA406974	paired ends may be out of order
DSNY_043-M-20180823	DSNY_043-M-20180823-COMP-DNA1	DSNY	HWVWKBGX7	18S_05_0453	2018-08-23T12:31:00Z	2019-03-01T00:00:00Z	5315723	2020436	PRJNA406974	paired ends may be out of order
JERC_001-M-20160726	JERC_001-M-20160726-COMP-DNA1	JERC	HWTY2BGX7	BMI_Plate20WellB1	2016-07-26T12:48:00Z	2019-05-16T00:00:00Z	9563863	5097062	PRJNA406974	paired ends may be out of order
JERC_003-M-20160726	JERC_003-M-20160726-COMP-DNA2	JERC	HWVCLBGX7	BMI_Plate75WellE11	2016-07-26T14:34:00Z	2018-12-04T00:00:00Z	4916563	1924754	PRJNA406974	paired ends may be out of order
JERC_002-M-20160726	JERC_002-M-20160726-COMP-DNA1	JERC	HWTY2BGX7	BMI_Plate20WellA11	2016-07-26T18:28:00Z	2019-05-16T00:00:00Z	8776719	3432393	PRJNA406974	paired ends may be out of order
JERC_004-M-20160726	JERC_004-M-20160726-COMP-DNA1	JERC	HWTY2BGX7	BMI_Plate20WellB4	2016-07-26T20:12:00Z	2019-05-16T00:00:00Z	6143191	2556673	PRJNA406974	paired ends may be out of order
JERC_005-M-20160726	JERC_005-M-20160726-COMP-DNA1	JERC	HWTY2BGX7	BMI_Plate20WellB3	2016-07-26T21:08:00Z	2019-05-16T00:00:00Z	6811261	3567022	PRJNA406974	paired ends may be out of order
JERC_050-M-20160727	JERC_050-M-20160727-COMP-DNA1	JERC	HWTY2BGX7	BMI_Plate20WellA10	2016-07-27T11:20:00Z	2019-05-16T00:00:00Z	9634525	6144816	PRJNA406974	paired ends may be out of order
JERC_049-M-20160727	JERC_049-M-20160727-COMP-DNA1	JERC	HWTY2BGX7	BMI_Plate20WellB2	2016-07-27T13:13:00Z	2019-05-16T00:00:00Z	6560427	4271218	PRJNA406974	paired ends may be out of order
